num;question;a;b;c;d;solution;area_code;area;theme;image;Tags\
103;Was wird in Deutschland als \'84Ampelkoalition\'93 bezeichnet? Die Zusammenarbeit ...;der Bundestagsfraktionen von CDU und CSU;von SPD, FDP und B\'fcndnis 90/Die Gr\'fcnen in einer Regierung;von CSU, Die LINKE und B\'fcndnis 90/Die Gr\'fcnen in einer Regierung;der Bundestagsfraktionen von CDU und SPD;b;politik;Politik in der Demokratie;Parteien;-;\
104;Eine Frau in Deutschland verliert ihre Arbeit. Was darf nicht der Grund f\'fcr diese Entlassung sein?;Die Frau ist lange krank und arbeitsunf\'e4hig.;Die Frau kam oft zu sp\'e4t zur Arbeit.;Die Frau erledigt private Sachen w\'e4hrend der Arbeitszeit.;Die Frau bekommt ein Kind und ihr Chef wei\'df das.;d;politik;Politik in der Demokratie;Recht und Alltag;-;\
105;Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen in Deutschland?;Sie helfen alten Menschen bei der Stimmabgabe in der Wahlkabine.;Sie schreiben die Wahlbenachrichtigungen vor der Wahl.;Sie geben Zwischenergebnisse an die Medien weiter.;Sie z\'e4hlen die Stimmen nach dem Ende der Wahl.;d;politik;Politik in der Demokratie;Pflichten;-;\
106;In Deutschland helfen ehrenamtliche Wahlhelfer und Wahlhelferinnen bei den Wahlen. Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen?;Sie helfen Kindern und alten Menschen beim W\'e4hlen.;Sie schreiben Karten und Briefe mit der Angabe des Wahllokals.;Sie geben Zwischenergebnisse an Journalisten weiter.;Sie z\'e4hlen die Stimmen nach dem Ende der Wahl.;d;politik;Politik in der Demokratie;Pflichten;-;\
107;F\'fcr wie viele Jahre wird der Bundestag in Deutschland gew\'e4hlt?;2 Jahre;4 Jahre;6 Jahre;8 Jahre;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
108;Bei einer Bundestagswahl in Deutschland darf jeder w\'e4hlen, der ...;in der Bundesrepublik Deutschland wohnt und w\'e4hlen m\'f6chte.;B\'fcrger / B\'fcrgerin der Bundesrepublik Deutschland ist und mindestens 18 Jahre alt ist.;seit mindestens 3 Jahren in der Bundesrepublik Deutschland lebt.;B\'fcrger / B\'fcrgerin der Bundesrepublik Deutschland ist und mindestens 21 Jahre alt ist.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
109;Wie oft gibt es normalerweise Bundestagswahlen in Deutschland?;alle drei Jahre;alle vier Jahre;alle f\'fcnf Jahre;alle sechs Jahre;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
110;F\'fcr wie viele Jahre wird der Bundestag in Deutschland gew\'e4hlt?;2 Jahre;3 Jahre;4 Jahre;5 Jahre;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
111;In Deutschland darf man w\'e4hlen. Was bedeutet das?;Alle deutschen Staatsangeh\'f6rigen d\'fcrfen w\'e4hlen, wenn sie das Mindestalter erreicht haben.;Nur verheiratete Personen d\'fcrfen w\'e4hlen.;Nur Personen mit einem festen Arbeitsplatz d\'fcrfen w\'e4hlen.;Alle Einwohner und Einwohnerinnen in Deutschland m\'fcssen w\'e4hlen.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
112;Die Wahlen in Deutschland sind ...;speziell.;geheim.;berufsbezogen.;geschlechtsabh\'e4ngig.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
113;Wahlen in Deutschland gewinnt die Partei, die ...;die meisten Stimmen bekommt.;die meisten M\'e4nner mehrheitlich gew\'e4hlt haben.;die meisten Stimmen bei den Arbeitern / Arbeiterinnen bekommen hat.;die meisten Erststimmen f\'fcr ihren Kanzlerkandidaten / ihre Kanzlerkandidatin erhalten hat.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
114;An demokratischen Wahlen in Deutschland teilzunehmen ist ...;eine Pflicht.;ein Recht.;ein Zwang.;eine Last.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
115;Was bedeutet \'84aktives Wahlrecht\'93 in Deutschland?;Man kann gew\'e4hlt werden.;Man muss w\'e4hlen gehen.;Man kann w\'e4hlen.;Man muss zur Ausz\'e4hlung der Stimmen gehen.;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
116;Wenn Sie bei einer Bundestagswahl in Deutschland w\'e4hlen d\'fcrfen, hei\'dft das ...;aktive Wahlkampagne.;aktives Wahlverfahren.;aktiver Wahlkampf.;aktives Wahlrecht.;d;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
117;Wie viel Prozent der Zweitstimmen m\'fcssen Parteien mindestens bekommen, um in den Deutschen Bundestag gew\'e4hlt zu werden?;3 %;4 %;5 %;6 %;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
118;Was regelt das Wahlrecht in Deutschland?;Wer w\'e4hlen darf, muss w\'e4hlen.;Alle die wollen, k\'f6nnen w\'e4hlen.;Wer nicht w\'e4hlt, verliert das Recht zu w\'e4hlen.;Wer w\'e4hlen darf, kann w\'e4hlen.;d;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
119;Wahlen in Deutschland sind frei. Was bedeutet das?;Alle verurteilten Straft\'e4ter / Straft\'e4terinnen d\'fcrfen nicht w\'e4hlen.;Wenn ich w\'e4hlen gehen m\'f6chte, muss mein Arbeitgeber / meine Arbeitgeberin mir frei geben.;Jede Person kann ohne Zwang entscheiden, ob sie w\'e4hlen m\'f6chte und wen sie w\'e4hlen m\'f6chte.;Ich kann frei entscheiden, wo ich w\'e4hlen gehen m\'f6chte.;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
120;Das Wahlsystem in Deutschland ist ein ...;Zensuswahlrecht.;Dreiklassenwahlrecht.;Mehrheits- und Verh\'e4ltniswahlrecht.;allgemeines M\'e4nnerwahlrecht.;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
121;Eine Partei m\'f6chte in den Deutschen Bundestag. Sie muss aber einen Mindestanteil an W\'e4hlerstimmen haben. Das hei\'dft ...;5 %-H\'fcrde.;Zulassungsgrenze.;Basiswert.;Richtlinie.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
122;Welchem Grundsatz unterliegen Wahlen in Deutschland? Wahlen in Deutschland sind ...;frei, gleich, geheim.;offen, sicher, frei.;geschlossen, gleich, sicher.;sicher, offen, freiwillig.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
123;Was ist in Deutschland die \'845 %-H\'fcrde\'93?;Abstimmungsregelung im Bundestag f\'fcr kleine Parteien;Anwesenheitskontrolle im Bundestag f\'fcr Abstimmungen;Mindestanteil an W\'e4hlerstimmen, um ins Parlament zu kommen;Anwesenheitskontrolle im Bundesrat f\'fcr Abstimmungen;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
124;Die Bundestagswahl in Deutschland ist die Wahl ...;des Bundeskanzlers / der Bundeskanzlerin.;der Parlamente der L\'e4nder.;des Parlaments f\'fcr Deutschland.;des Bundespr\'e4sidenten / der Bundespr\'e4sidentin.;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;difficult\
125;In einer Demokratie ist eine Funktion von regelm\'e4\'dfigen Wahlen, ...;die B\'fcrger und B\'fcrgerinnen zu zwingen, ihre Stimme abzugeben.;nach dem Willen der W\'e4hlermehrheit den Wechsel der Regierung zu erm\'f6glichen.;im Land bestehende Gesetze beizubehalten.;den Armen mehr Macht zu geben.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
126;Was bekommen wahlberechtigte B\'fcrger und B\'fcrgerinnen in Deutschland vor einer Wahl?;eine Wahlbenachrichtigung von der Gemeinde;eine Wahlerlaubnis vom Bundespr\'e4sidenten / von der Bundespr\'e4sidentin;eine Benachrichtigung von der Bundesversammlung;eine Benachrichtigung vom Pfarramt;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;difficult\
127;Warum gibt es die 5 %-H\'fcrde im Wahlgesetz der Bundesrepublik Deutschland? Es gibt sie, weil ...;die Programme von vielen kleinen Parteien viele Gemeinsamkeiten haben.;die B\'fcrger und B\'fcrgerinnen bei vielen kleinen Parteien die Orientierung verlieren k\'f6nnen.;viele kleine Parteien die Regierungsbildung erschweren.;die kleinen Parteien nicht so viel Geld haben, um die Politiker und Politikerinnen zu bezahlen.;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;difficult\
128;Parlamentsmitglieder, die von den B\'fcrgern und B\'fcrgerinnen gew\'e4hlt werden, nennt man ...;Abgeordnete.;Kanzler / Kanzlerinnen.;Botschafter / Botschafterinnen.;Ministerpr\'e4sidenten / Ministerpr\'e4sidentinnen.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;difficult\
129;Vom Volk gew\'e4hlt wird in Deutschland ...;der Bundeskanzler / die Bundeskanzlerin.;der Ministerpr\'e4sident / die Ministerpr\'e4sidentin eines Bundeslandes.;der Bundestag.;der Bundespr\'e4sident / die Bundespr\'e4sidentin.;c;politik;Politik in der Demokratie;Verfassungsorgane;-;\
130;Welcher Stimmzettel w\'e4re bei einer Bundestagswahl g\'fcltig?;1;2;3;4;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;frage_130;image\
131;In Deutschland ist ein B\'fcrgermeister / eine B\'fcrgermeisterin ...;der Leiter / die Leiterin einer Schule.;der Chef / die Chefin einer Bank.;das Oberhaupt einer Gemeinde.;der / die Vorsitzende einer Partei.;c;politik;Politik in der Demokratie;Kommune;-;\
132;Viele Menschen in Deutschland arbeiten in ihrer Freizeit ehrenamtlich. Was bedeutet das?;Sie arbeiten als Soldaten / Soldatinnen.;Sie arbeiten freiwillig und unbezahlt in Vereinen und Verb\'e4nden.;Sie arbeiten in der Bundesregierung.;Sie arbeiten in einem Krankenhaus und verdienen dabei Geld.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
133;Was ist bei Bundestags- und Landtagswahlen in Deutschland erlaubt?;Der Ehemann w\'e4hlt f\'fcr seine Frau mit.;Man kann durch Briefwahl seine Stimme abgeben.;Man kann am Wahltag telefonisch seine Stimme abgeben.;Kinder ab dem Alter von 14 Jahren d\'fcrfen w\'e4hlen.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
134;Man will die Buslinie abschaffen, mit der Sie immer zur Arbeit fahren. Was k\'f6nnen Sie machen, um die Buslinie zu erhalten?;Ich beteilige mich an einer B\'fcrgerinitiative f\'fcr die Erhaltung der Buslinie oder gr\'fcnde selber eine Initiative.;Ich werde Mitglied in einem Sportverein und trainiere Radfahren.;Ich wende mich an das Finanzamt, weil ich als Steuerzahler / Steuerzahlerin ein Recht auf die Buslinie habe.;Ich schreibe einen Brief an das Forstamt der Gemeinde.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
135;Wen vertreten die Gewerkschaften in Deutschland?;gro\'dfe Unternehmen;kleine Unternehmen;Selbst\'e4ndige;Arbeitnehmer und Arbeitnehmerinnen;d;politik;Politik in der Demokratie;Grundrechte;-;\
136;Sie gehen in Deutschland zum Arbeitsgericht bei ...;falscher Nebenkostenabrechnung.;ungerechtfertigter K\'fcndigung durch Ihren Chef / Ihre Chefin.;Problemen mit den Nachbarn / Nachbarinnen.;Schwierigkeiten nach einem Verkehrsunfall.;b;politik;Politik in der Demokratie;Recht und Alltag;-;\
137;Welches Gericht ist in Deutschland bei Konflikten in der Arbeitswelt zust\'e4ndig?;das Familiengericht;das Strafgericht;das Arbeitsgericht;das Amtsgericht;c;politik;Politik in der Demokratie;Recht und Alltag;-;\
138;Was kann ich in Deutschland machen, wenn mir mein Arbeitgeber / meine Arbeitgeberin zu Unrecht gek\'fcndigt hat?;weiter arbeiten und freundlich zum Chef / zur Chefin sein;ein Mahnverfahren gegen den Arbeitgeber / die Arbeitgeberin f\'fchren;K\'fcndigungsschutzklage erheben;den Arbeitgeber / die Arbeitgeberin bei der Polizei anzeigen;c;politik;Politik in der Demokratie;Recht und Alltag;-;\
139;Wann kommt es in Deutschland zu einem Prozess vor Gericht? Wenn jemand ...;zu einer anderen Religion \'fcbertritt.;eine Straftat begangen hat und angeklagt wird.;eine andere Meinung als die der Regierung vertritt.;sein Auto falsch geparkt hat und es abgeschleppt wird.;b;politik;Politik in der Demokratie;Recht und Alltag;-;\
140;Was macht ein Sch\'f6ffe / eine Sch\'f6ffin in Deutschland? Er / Sie ...;entscheidet mit Richtern / Richterinnen \'fcber Schuld und Strafe.;gibt B\'fcrgern / B\'fcrgerinnen rechtlichen Rat.;stellt Urkunden aus.;verteidigt den Angeklagten / die Angeklagte.;a;politik;Politik in der Demokratie;Recht und Alltag;-;\
141;Wer ber\'e4t in Deutschland Personen bei Rechtsfragen und vertritt sie vor Gericht?;ein Rechtsanwalt / eine Rechtsanw\'e4ltin;ein Richter / eine Richterin;ein Sch\'f6ffe / eine Sch\'f6ffin;ein Staatsanwalt / eine Staatsanw\'e4ltin;a;politik;Politik in der Demokratie;Recht und Alltag;-;\
142;Was ist die Hauptaufgabe eines Richters / einer Richterin in Deutschland? Ein Richter / eine Richterin ...;vertritt B\'fcrger und B\'fcrgerinnen vor einem Gericht.;arbeitet an einem Gericht und spricht Urteile.;\'e4ndert Gesetze.;betreut Jugendliche vor Gericht.;b;politik;Politik in der Demokratie;Recht und Alltag;-;\
143;Ein Richter / eine Richterin in Deutschland geh\'f6rt zur ...;Judikative.;Exekutive.;Operative.;Legislative.;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
144;Ein Richter / eine Richterin geh\'f6rt in Deutschland zur ...;vollziehenden Gewalt.;rechtsprechenden Gewalt.;planenden Gewalt.;gesetzgebenden Gewalt.;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
145;In Deutschland wird die Staatsgewalt geteilt. F\'fcr welche Staatsgewalt arbeitet ein Richter / eine Richterin? F\'fcr die ...;Judikative.;Exekutive.;Presse.;Legislative.;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
146;Wie nennt man in Deutschland ein Verfahren vor einem Gericht?;Programm;Prozedur;Protokoll;Prozess;d;politik;Politik in der Demokratie;Recht und Alltag;-;\
147;Was ist die Arbeit eines Richters / einer Richterin in Deutschland?;Deutschland regieren;Recht sprechen;Pl\'e4ne erstellen;Gesetze erlassen;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
148;Was ist eine Aufgabe der Polizei in Deutschland?;das Land zu verteidigen;die B\'fcrgerinnen und B\'fcrger abzuh\'f6ren;die Gesetze zu beschlie\'dfen;die Einhaltung von Gesetzen zu \'fcberwachen;d;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
149;Wer kann Gerichtssch\'f6ffe / Gerichtssch\'f6ffin in Deutschland werden?;alle in Deutschland geborenen Einwohner / Einwohnerinnen \'fcber 18 Jahre;alle deutschen Staatsangeh\'f6rigen \'e4lter als 24 und j\'fcnger als 70 Jahre;alle Personen, die seit mindestens 5 Jahren in Deutschland leben;nur Personen mit einem abgeschlossenen Jurastudium;b;politik;Politik in der Demokratie;Recht und Alltag;-;\
150;Ein Gerichtssch\'f6ffe / eine Gerichtssch\'f6ffin in Deutschland ist ...;der Stellvertreter / die Stellvertreterin des Stadtoberhaupts.;ein ehrenamtlicher Richter / eine ehrenamtliche Richterin.;ein Mitglied eines Gemeinderats.;eine Person, die Jura studiert hat.;b;politik;Politik in der Demokratie;Recht und Alltag;-;\
151;Wer baute die Mauer in Berlin?;Gro\'dfbritannien;die Bundesrepublik Deutschland;die DDR;die USA;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;\
152;Wann waren die Nationalsozialisten mit Adolf Hitler in Deutschland an der Macht?;1918 bis 1923;1932 bis 1950;1933 bis 1945;1945 bis 1989;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date\
153;Was war am 8. Mai 1945?;Tod Adolf Hitlers;Beginn des Berliner Mauerbaus;Wahl von Konrad Adenauer zum Bundeskanzler;Ende des Zweiten Weltkriegs in Europa;d;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date\
154;Wann war der Zweite Weltkrieg zu Ende?;1933;1945;1949;1961;b;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date\
155;Wann waren die Nationalsozialisten in Deutschland an der Macht?;1888 bis 1918;1921 bis 1934;1933 bis 1945;1949 bis 1963;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date\
156;In welchem Jahr wurde Hitler Reichskanzler?;1923;1927;1933;1936;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date\
157;Die Nationalsozialisten mit Adolf Hitler errichteten 1933 in Deutschland ...;eine Diktatur.;einen demokratischen Staat.;eine Monarchie.;ein F\'fcrstentum.;a;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date\
158;Das \'84Dritte Reich\'93 war eine ...;Diktatur.;Demokratie.;Monarchie.;R\'e4terepublik.;a;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;\
159;Was gab es in Deutschland nicht w\'e4hrend der Zeit des Nationalsozialismus?;freie Wahlen;Pressezensur;willk\'fcrliche Verhaftungen;Verfolgung der Juden;a;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;\
160;Welcher Krieg dauerte von 1939 bis 1945?;der Erste Weltkrieg;der Zweite Weltkrieg;der Vietnamkrieg;der Golfkrieg;b;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date\
161;Was kennzeichnete den NS-Staat? Eine Politik ...;des staatlichen Rassismus;der Meinungsfreiheit;der allgemeinen Religionsfreiheit;der Entwicklung der Demokratie;a;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;\
162;Claus Schenk Graf von Stauffenberg wurde bekannt durch ...;eine Goldmedaille bei den Olympischen Spielen 1936.;den Bau des Reichstagsgeb\'e4udes.;den Aufbau der Wehrmacht.;das Attentat auf Hitler am 20. Juli 1944.;d;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;\
163;In welchem Jahr zerst\'f6rten die Nationalsozialisten Synagogen und j\'fcdische Gesch\'e4fte in Deutschland?;1925;1930;1938;1945;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date\
164;Was passierte am 9. November 1938 in Deutschland?;Mit dem Angriff auf Polen beginnt der Zweite Weltkrieg.;Die Nationalsozialisten verlieren eine Wahl und l\'f6sen den Reichstag auf.;J\'fcdische Gesch\'e4fte und Synagogen werden durch Nationalsozialisten und ihre Anh\'e4nger zerst\'f6rt.;Hitler wird Reichspr\'e4sident und l\'e4sst alle Parteien verbieten.;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date\
165;Wie hie\'df der erste Bundeskanzler der Bundesrepublik Deutschland?;Konrad Adenauer;Kurt Georg Kiesinger;Helmut Schmidt;Willy Brandt;a;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;person\
166;Bei welchen Demonstrationen in Deutschland riefen die Menschen \'84Wir sind das Volk\'93?;bei den Montagsdemonstrationen 1989 in der DDR;beim Arbeiteraufstand 1953 in der DDR;bei den Demonstrationen 1968 in der Bundesrepublik Deutschland;bei den Anti-Atomkraft-Demonstrationen 1985 in der Bundesrepublik Deutschland;a;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date\
167;Welche L\'e4nder wurden nach dem Zweiten Weltkrieg in Deutschland als \'84Alliierte Besatzungsm\'e4chte\'93 bezeichnet?;Sowjetunion, Gro\'dfbritannien, Polen, Schweden;Frankreich, Sowjetunion, Italien, Japan;USA, Sowjetunion, Spanien, Portugal;USA, Sowjetunion, Gro\'dfbritannien, Frankreich;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;\
168;Welches Land war keine \'84Alliierte Besatzungsmacht\'93 in Deutschland?;USA;Sowjetunion;Frankreich;Japan;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;\
169;Wann wurde die Bundesrepublik Deutschland gegr\'fcndet?;1939;1945;1949;1951;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date\
170;Was gab es w\'e4hrend der Zeit des Nationalsozialismus in Deutschland?;das Recht zur freien Entfaltung der Pers\'f6nlichkeit;Pressefreiheit;das Verbot von Parteien;den Schutz der Menschenw\'fcrde;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;difficult\
171;Soziale Marktwirtschaft bedeutet, die Wirtschaft ...;steuert sich allein nach Angebot und Nachfrage.;wird vom Staat geplant und gesteuert, Angebot und Nachfrage werden nicht ber\'fccksichtigt.;richtet sich nach der Nachfrage im Ausland.;richtet sich nach Angebot und Nachfrage, aber der Staat sorgt f\'fcr einen sozialen Ausgleich.;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;\
172;In welcher Besatzungszone wurde die DDR gegr\'fcndet? In der ...;amerikanischen Besatzungszone.;franz\'f6sischen Besatzungszone.;britischen Besatzungszone.;sowjetischen Besatzungszone.;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;\
173;Die Bundesrepublik Deutschland ist ein Gr\'fcndungsmitglied ...;des Nordatlantikpakts (NATO).;der Vereinten Nationen (VN).;der Europ\'e4ischen Union (EU).;des Warschauer Pakts.;c;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;\
174;Wann wurde die DDR gegr\'fcndet?;1947;1949;1953;1956;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date\
175;Wie viele Besatzungszonen gab es in Deutschland nach dem Zweiten Weltkrieg?;3;4;5;6;b;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;\
176;Wie waren die Besatzungszonen Deutschlands nach 1945 verteilt?;1=Gro\'dfbritannien, 2=Sowjetunion, 3=Frankreich, 4=USA;1=Sowjetunion, 2=Gro\'dfbritannien, 3=USA, 4=Frankreich;1=Gro\'dfbritannien, 2=Sowjetunion, 3=USA, 4=Frankreich;1=Gro\'dfbritannien, 2=USA, 3=Sowjetunion, 4=Frankreich;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;frage_176;image\
177;Welche deutsche Stadt wurde nach dem Zweiten Weltkrieg in vier Sektoren aufgeteilt?;M\'fcnchen;Berlin;Dresden;Frankfurt/Oder;b;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;\
178;Vom Juni 1948 bis zum Mai 1949 wurden die B\'fcrger und B\'fcrgerinnen von West-Berlin durch eine Luftbr\'fccke versorgt. Welcher Umstand war daf\'fcr verantwortlich?;F\'fcr Frankreich war eine Versorgung der West-Berliner Bev\'f6lkerung mit dem Flugzeug kosteng\'fcnstiger.;Die amerikanischen Soldaten / Soldatinnen hatten beim Landtransport Angst vor \'dcberf\'e4llen.;F\'fcr Gro\'dfbritannien war die Versorgung \'fcber die Luftbr\'fccke schneller.;Die Sowjetunion unterbrach den gesamten Verkehr auf dem Landwege.;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date\
179;Wie endete der Zweite Weltkrieg in Europa offiziell?;mit dem Tod Adolf Hitlers;durch die bedingungslose Kapitulation Deutschlands;mit dem R\'fcckzug der Deutschen aus den besetzten Gebieten;durch eine Revolution in Deutschland;b;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;\
180;Der erste Bundeskanzler der Bundesrepublik Deutschland war ...;Ludwig Erhard.;Willy Brandt.;Konrad Adenauer.;Gerhard Schr\'f6der.;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;person\
181;Was wollte Willy Brandt mit seinem Kniefall 1970 im ehemaligen j\'fcdischen Ghetto in Warschau ausdr\'fccken?;Er hat sich den ehemaligen Alliierten unterworfen.;Er bat Polen und die polnischen Juden um Vergebung.;Er zeigte seine Demut vor dem Warschauer Pakt.;Er sprach ein Gebet am Grab des Unbekannten Soldaten.;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;frage_181;image,date,person\
182;Welche Parteien wurden 1946 zwangsweise zur SED vereint, der Einheitspartei der sp\'e4teren DDR?;KPD und SPD;SPD und CDU;CDU und FDP;KPD und CSU;a;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date\
183;Wann war in der Bundesrepublik Deutschland das \'84Wirtschaftswunder\'93?;40er Jahre;50er Jahre;70er Jahre;80er Jahre;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;\
184;Was nannten die Menschen in Deutschland sehr lange \'84Die Stunde Null\'93?;Damit wird die Zeit nach der Wende im Jahr 1989 bezeichnet.;Damit wurde der Beginn des Zweiten Weltkrieges bezeichnet.;Darunter verstand man das Ende des Zweiten Weltkrieges und den Beginn des Wiederaufbaus.;Damit ist die Stunde gemeint, in der die Uhr von der Sommerzeit auf die Winterzeit umgestellt wird.;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;\
185;Wof\'fcr stand der Ausdruck \'84Eiserner Vorhang\'93? F\'fcr die Abschottung ...;des Warschauer Pakts gegen den Westen.;Norddeutschlands gegen S\'fcddeutschland.;Nazi-Deutschlands gegen die Alliierten.;Europas gegen die USA.;a;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;\
186;Im Jahr 1953 gab es in der DDR einen Aufstand, an den lange Zeit in der Bundesrepublik Deutschland ein Feiertag erinnerte. Wann war das?;1. Mai;17. Juni;20. Juli;9. November;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date\
187;Welcher deutsche Staat hatte eine schwarz-rot-goldene Flagge mit Hammer, Zirkel und \'c4hrenkranz?;Preu\'dfen;Bundesrepublik Deutschland;DDR;\'84Drittes Reich\'93;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;frage_187;image\
188;In welchem Jahr wurde die Mauer in Berlin gebaut?;1953;1956;1959;1961;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date\
189;Wann baute die DDR die Mauer in Berlin?;1919;1933;1961;1990;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date\
190;Was bedeutet die Abk\'fcrzung DDR?;Dritter Deutscher Rundfunk;Die Deutsche Republik;Dritte Deutsche Republik;Deutsche Demokratische Republik;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;\
191;Wann wurde die Mauer in Berlin f\'fcr alle ge\'f6ffnet?;1987;1989;1992;1995;b;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date\
192;Welches heutige deutsche Bundesland geh\'f6rte fr\'fcher zum Gebiet der DDR?;Brandenburg;Bayern;Saarland;Hessen;a;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;\
193;Von 1961 bis 1989 war Berlin ...;ohne B\'fcrgermeister.;ein eigener Staat.;durch eine Mauer geteilt.;nur mit dem Flugzeug erreichbar.;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date\
194;Am 3. Oktober feiert man in Deutschland den Tag der Deutschen ...;Einheit.;Nation.;Bundesl\'e4nder.;St\'e4dte.;a;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date\
195;Welches heutige deutsche Bundesland geh\'f6rte fr\'fcher zum Gebiet der DDR?;Hessen;Sachsen-Anhalt;Nordrhein-Westfalen;Saarland;b;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;\
